ProteinGroup	NV-284-14D	NV-284-Pre	NV-285-14D	NV-285-Pre	NV-291-14D	NV-291-Pre	NV-292-14D	NV-292-Pre	SHAM-257-14D	SHAM-257-Pre	SHAM-258-14D	SHAM-258-Pre	SHAM-485-14D	SHAM-485-Pre	SHAM-523-14D	SHAM-523-Pre	SNI-259-14D	SNI-259-Pre	SNI-260-14D	SNI-260-Pre	SNI-509-14D	SNI-509-Pre	SNI-514-14D	SNI-514-Pre
1-3_GL0117225;2-1_GL0024475;6-2_GL0069554	246379.266	19097.13127	55515.81032	22967.74415	253908.6593	51054.0969	280496.5096	22723.53134	63251.44339	23474.84789	146668.1654	160273.6893	134672.2377	NA	202435.1336	93864.63341	51860.73687	65948.17519	118442.0664	250758.3806	40814.92436	132596.5094	81071.77636	250892.0311
1-3_GL0117225;2-1_GL0121714	182981.6691	NA	31166.41241	10168	245672.1798	44461.78396	208363.0325	17899.5558	36357.7371	21978.3	101484.8672	86740.40107	65866.70999	20277.9	48340.2	62878.27685	88040.09346	86284.40753	137545.6474	195776.3446	31424.3	114911.6989	14849.6	237814.8819
1-3_GL0117225;6-2_GL0069554	69608.5635	NA	10363.37073	5346.826909	92767.63325	28936.6848	68262.00974	21703.89963	19361.42958	9405.762878	31704.40254	47664.38099	80393.86119	NA	17507.98793	23232.19564	38479.48133	51664.82929	55188.68277	59236.17555	44727.10892	63808.67421	43970.55692	94109.70005
1-3_GL0117954;29_GL0072431;MC-0-1_GL0047378;MC-0-1_GL0099911	36261	42293.9	38684.8	87579.2	36307.5	69807.7	15143.8	29610.8	38000.1	30175.8	59163.5	14993.8	38982.1	53183.1	3130.85	29500.8	21097.5	14092.6	76478.9	40947.2	21608.2	15274.6	72480.4	38375.2
1-3_GL0118280	NA	NA	21232.7	NA	6826.96	NA	NA	NA	NA	NA	NA	NA	NA	6878.12	4334.89	14515.4	5703.12	NA	15799.2	NA	NA	NA	10061.6	5875.15
1-3_GL0119111	13927.33471	14914.0748	9223.820669	11312.09298	3525.706952	12701.47265	2398.38868	14028.30962	9326.976129	6662.102518	11738.61216	6752.477596	4630.882405	19620.97626	6701.327416	5224.457745	11689.63738	4067.758067	19393.45427	9872.017417	26723.43428	NA	4945.708087	3462.809951
1-3_GL0119111;1A-dyr2-07_GL0072819;G1-1A_GL0054686;G1-1A_GL0096517;MC-0-1_GL0087548	128058.7779	161282.2547	150562.8117	119526.8342	69544.45148	61763.17226	40448.77334	61175.45886	86560.02229	20290.87557	229214.9209	46631.956	82210.78235	133048.3276	95383.64027	54397.22307	79128.10475	38337.28144	180433.5311	68074.74659	98981.01326	18853.01588	105892.8993	78983.86047
1-3_GL0119111;G1-1A_GL0054686;S-Fe10_GL0153182	46338.5	47561.9	30011.3	42182.2	10926.1	29564.6	9147.21	20504.4	14401.3	15845.3	47962.3	22997.1	33737.6	42235.2	41101.3	16743.8	19508.7	20412.5	32722.5	60496.6	15239.1	4854.51	25723.1	10726
1-3_GL0119111;S-Fe10_GL0012456	4236.56	5323.42	2938.81	8703.82	3780.86	6557.55	4478.49	5480.09	6802.48	2829.26	5990.19	2485.67	11988.6	4391.73	1299.38	2544.44	4807.52	NA	4966.38	2280.69	4318.06	NA	9147.81	5337.2
1-3_GL0120068	46394.04801	42609.40467	31997.36719	29132.27035	5342.731018	16670.03052	2999.971491	5131.132641	NA	8465.421015	22163.15359	3795.883627	NA	5629.833294	8098.472576	4205.041746	24334.48972	4830.861372	27249.52136	7696.257036	8082.477714	NA	NA	6718.504021
1-3_GL0120068;16_GL0055680;G1-1A_GL0039120;MC-0-1_GL0038225;S-Fe10_GL0082736;S-Fe4_GL0097646	136353	94658.5	88283.6	55246.1	15544.8	13291.1	6086.79	NA	NA	NA	59527.2	4200.45	NA	NA	3885.25	NA	40744.4	8145.56	44548.5	11284.4	NA	NA	NA	15535.9
1-3_GL0120068;16_GL0055680;MC-0-1_GL0038225;S-Fe2_GL0216506;S-Fe4_GL0097646	287223	207614.9087	NA	138807.5977	NA	NA	NA	NA	NA	NA	169995.7485	NA	NA	NA	58857.6	NA	NA	NA	102541	NA	NA	NA	NA	58381.5
1-3_GL0120068;MC-0-1_GL0038225;S-Fe2_GL0216506;S-Fe4_GL0097646	NA	NA	NA	NA	NA	15247.9	NA	6010.79	4940.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	1461.76	NA	8448.43	NA	5839.77	NA
1-3_GL0120068;S-Fe2_GL0216506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2424.4	NA
1-3_GL0120131	NA	NA	10028.6155	7428.114246	10157.98547	21418.79481	9807.46342	4285.883029	26705.05036	27950.30154	16686.81592	11244.89341	NA	NA	NA	NA	15617.36058	22169.9443	23786.43619	17395.80909	NA	NA	NA	9974.788508
1-3_GL0120417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	716.811	NA	NA	NA	NA	NA	NA	NA	NA	NA
14_GL0000416	NA	NA	NA	NA	1071.853423	642.9278266	NA	NA	NA	NA	NA	NA	NA	NA	1925.737713	NA	NA	NA	NA	NA	NA	NA	836.2042237	1293.471677
